trial_index,condition_name,total_signals,sifted_key_length,sifting_ratio,test_bits,estimated_qber,actual_qber,estimated_error_count,actual_error_count,corrected_bits,reconciliation_leakage,reconciled_key_length,final_key_length,final_key_rate,compression_ratio,accepted,final_keys_match,reconciliation_matched,z_basis_sifted_length,z_basis_qber,x_basis_sifted_length,x_basis_qber,qber_ci_lower,qber_ci_upper
8,Moderate Noise (4% Depol),1200,609,0.5075,122,0.02459016393442623,0.014778325123152709,3,9,6,54,487,297,0.2475,0.6098562628336756,True,True,True,303,0.0165016501650165,306,0.013071895424836602,0.00839762036022058,0.06980759843589
9,Moderate Noise (4% Depol),1200,595,0.49583333333333335,119,0.01680672268907563,0.021848739495798318,2,13,11,104,476,306,0.255,0.6428571428571429,True,True,True,298,0.026845637583892617,297,0.016835016835016835,0.004621175448157974,0.059212801256237346
10,Moderate Noise (4% Depol),1200,597,0.4975,119,0.01680672268907563,0.018425460636515914,2,11,9,96,478,312,0.26,0.6527196652719666,True,True,True,303,0.0165016501650165,294,0.02040816326530612,0.004621175448157974,0.059212801256237346
11,Moderate Noise (4% Depol),1200,622,0.5183333333333333,124,0.0,0.01607717041800643,0,10,10,104,498,373,0.31083333333333335,0.748995983935743,True,True,True,332,0.018072289156626505,290,0.013793103448275862,0.0,0.030048615340677695
12,Moderate Noise (4% Depol),1200,586,0.48833333333333334,117,0.008547008547008548,0.013651877133105802,1,8,7,88,469,351,0.2925,0.7484008528784648,True,True,True,290,0.017241379310344827,296,0.010135135135135136,0.0015103535737964364,0.046829503274189374
13,Moderate Noise (4% Depol),1200,575,0.4791666666666667,115,0.034782608695652174,0.019130434782608695,4,11,7,86,460,216,0.18,0.46956521739130436,True,True,True,288,0.017361111111111112,287,0.020905923344947737,0.013607842790201288,0.08603296386263783
14,Moderate Noise (4% Depol),1200,600,0.5,120,0.025,0.016666666666666666,3,10,7,88,480,274,0.22833333333333333,0.5708333333333333,True,True,True,301,0.013289036544850499,299,0.020066889632107024,0.008538174769902228,0.0709300333278661
15,Moderate Noise (4% Depol),1200,624,0.52,125,0.032,0.019230769230769232,4,12,8,96,499,247,0.20583333333333334,0.49498997995991983,True,True,True,284,0.02464788732394366,340,0.014705882352941176,0.01251313913869348,0.07939406937230009
16,Moderate Noise (4% Depol),1200,598,0.49833333333333335,120,0.008333333333333333,0.01839464882943144,1,11,10,100,478,358,0.29833333333333334,0.7489539748953975,True,True,True,303,0.0231023102310231,295,0.013559322033898305,0.0014725557333420923,0.045696291245049675
17,Moderate Noise (4% Depol),1200,576,0.48,115,0.008695652173913044,0.012152777777777778,1,7,6,111,461,339,0.2825,0.735357917570499,True,True,True,305,0.013114754098360656,271,0.01107011070110701,0.0015366489058808025,0.047616726344313784
18,Moderate Noise (4% Depol),1200,627,0.5225,125,0.04,0.030303030303030304,5,19,14,120,502,198,0.165,0.3944223107569721,True,True,True,322,0.037267080745341616,305,0.022950819672131147,0.017204609071915906,0.09022555313974442
19,Moderate Noise (4% Depol),1200,596,0.49666666666666665,119,0.025210084033613446,0.02181208053691275,3,13,10,130,477,250,0.20833333333333334,0.5241090146750524,True,True,True,294,0.02040816326530612,302,0.023178807947019868,0.008610231289265309,0.07150489364635793
